Country Name,Country Code,Year,Life expectancy,PIB per capita,Population,Region Name
Morocco,MAR,2015,74.2893170731707,2878.20134215919,34377511.0,Africa
Madagascar,MDG,2015,65.4827804878049,401.836006029745,24235390.0,Africa
Mexico,MEX,2015,76.9206829268293,9005.02426497766,127017224.0,Americas
Malawi,MWI,2015,63.796853658536605,371.98574781034404,17215232.0,Africa
Malaysia,MYS,2015,74.8751707317073,9768.32686011881,30331007.0,Asia
Niger,NER,2015,61.9690243902439,358.958152040005,19899120.0,Africa
Nigeria,NGA,2015,53.0488780487805,2671.7211638507997,182201962.0,Africa
Nicaragua,NIC,2015,75.0981219512195,2086.89500277099,6082032.0,Americas
Netherlands,NLD,2015,81.7073170731707,44290.8688648378,16939923.0,Europe
Norway,NOR,2015,82.1,74481.8193791387,5190239.0,Europe
Nepal,NPL,2015,69.97334146341471,743.322965726435,28513700.0,Asia
New Zealand,NZL,2015,81.45682926829271,37807.9672760442,4595700.0,Oceania
Pakistan,PAK,2015,66.3769756097561,1434.69666504969,188924874.0,Asia
Panama,PAN,2015,77.7672926829268,13268.113754933502,3929141.0,Americas
Peru,PER,2015,74.78073170731709,6027.125855295511,31376670.0,Americas
Philippines,PHL,2015,68.406756097561,2904.202081915281,100699395.0,Asia
Portugal,PRT,2015,81.5219512195122,19222.9350040045,10358076.0,Europe
Rwanda,RWA,2015,64.5245365853659,697.34822808289,11609666.0,Africa
Sudan,SDN,2015,63.7107317073171,2414.72360102858,40234882.0,Africa
Senegal,SEN,2015,66.8044146341463,899.5798794849768,15129273.0,Africa
Singapore,SGP,2015,82.5951219512195,52888.7446717529,5535002.0,Asia
Sierra Leone,SLE,2015,51.3081707317073,653.1318159406479,6453184.0,Africa
Suriname,SUR,2015,71.2941707317073,9485.31924429496,542975.0,Americas
Sweden,SWE,2015,82.55121951219509,50585.2584706067,9799186.0,Europe
Swaziland,SWZ,2015,48.873951219512215,3200.14301756487,1286970.0,Africa
Chad,TCD,2015,51.8733170731707,775.6950905253128,14037472.0,Africa
Togo,TGO,2015,60.120756097561,559.6358766619451,7304578.0,Africa
Thailand,THA,2015,74.60119512195119,5814.7697638235495,67959359.0,Asia
Trinidad and Tobago,TTO,2015,70.55770731707321,17321.884675056,1360088.0,Americas
Turkey,TUR,2015,75.42621951219509,9125.68758972936,78665830.0,Asia
Uganda,UGA,2015,59.179073170731705,705.2925695350681,39032383.0,Africa
Uruguay,URY,2015,77.13821951219509,15573.900919181799,3431555.0,Americas
United States,USA,2015,78.7414634146342,56115.7184261955,321418820.0,Americas
